,precision,recall,f1-score,support
banana,1.0,1.0,1.0,20.0
blackgram,1.0,1.0,1.0,20.0
chickpea,1.0,1.0,1.0,18.0
coconut,1.0,1.0,1.0,20.0
coffee,1.0,1.0,1.0,20.0
cotton,1.0,1.0,1.0,20.0
jute,1.0,1.0,1.0,20.0
kidneybeans,1.0,1.0,1.0,20.0
lentil,1.0,1.0,1.0,20.0
maize,1.0,1.0,1.0,20.0
mango,1.0,1.0,1.0,20.0
mothbeans,1.0,1.0,1.0,12.0
mungbean,1.0,1.0,1.0,20.0
muskmelon,1.0,1.0,1.0,20.0
orange,1.0,1.0,1.0,16.0
papaya,1.0,1.0,1.0,12.0
pigeonpeas,1.0,1.0,1.0,20.0
pomegranate,1.0,1.0,1.0,20.0
rice,1.0,1.0,1.0,12.0
watermelon,1.0,1.0,1.0,20.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,370.0
weighted avg,1.0,1.0,1.0,370.0
